"2014-09-18 08:00:00",12,1393752,5233635,15849104
"2014-09-18 09:00:00",11,3515064,11715033,42167872
"2014-09-18 10:00:00",10,5600344,9235289,12720512
"2014-09-18 11:00:00",12,4783736,7452332,13645040
"2014-09-18 12:00:00",11,4892136,10086040,16980992
"2014-09-18 13:00:00",10,7390736,11995444,19986616
"2014-09-18 14:00:00",11,8160920,11055365,15747016
"2014-09-18 15:00:00",11,8019744,11313491,16307864
"2014-09-18 16:00:00",11,6641872,10439742,15709216
"2014-09-18 17:00:00",11,1217576,3764985,6820344
"2014-09-18 18:00:00",12,178104,888989,2097120
"2014-09-18 19:00:00",12,165336,284551,744744
"2014-09-18 20:00:00",12,162688,863157,3151728
"2014-09-18 21:00:00",12,162112,384384,1030840
"2014-09-18 22:00:00",12,151456,190171,290008
"2014-09-18 23:00:00",12,153344,167008,205320
